word,Reading,JLPT Level,Frequency Rank,Meaning
煙たい,けむたい,N1,0,"smoky, feeling awkward"
煙る,けむる,N1,0,"to smoke (e.g., fire)"
獣,けもの,N1,2190,"beast, brute"
家来,けらい,N1,0,"retainer, retinue, servant"
下痢,げり,N1,0,diarrhea
権威,けんい,N1,6794,"authority, power, influence"
兼業,けんぎょう,N1,0,holding two jobs at the same time
原形,げんけい,N1,0,"original form, base form"
原型,げんけい,N1,8858,"prototype, model, archetypal"
権限,けんげん,N1,1888,"power, authority, jurisdiction"
現行,げんこう,N1,3710,"present, current, in operation"
健在,けんざい,N1,18207,"in good health, well"
原作,げんさく,N1,858,original work
検事,けんじ,N1,7224,public prosecutor
原子,げんし,N1,4006,atom
元首,げんしゅ,N1,3675,"ruler, sovereign"
原書,げんしょ,N1,0,original document
懸賞,けんしょう,N1,18529,"offering prizes, winning, reward"
健全,けんぜん,N1,12771,"health, soundness, wholesome"
元素,げんそ,N1,7218,element
同調,どうちょう,N1,14688,"sympathy, agree with, alignment"
到底,とうてい,N1,14246,(cannot) possibly
動的,どうてき,N1,18069,"dynamic, kinetic"
尊い,とうとい,N1,0,"precious, valuable, noble"
貴い,とうとい,N1,0,"precious, valuable, noble"
同等,どうとう,N1,6426,"equality, equal, same rank"
堂々,どうどう,N1,14371,"magnificent, grand, impressive"
尊ぶ,とうとぶ,N1,0,"to value, to prize, to esteem"
どうにか,どうにか,N1,0,"in some way or other, one way or another"
投入,とうにゅう,N1,4222,"throw, investment, making (an electrical circuit)"
導入,どうにゅう,N1,1106,"introduction, bringing in, leading in"
当人,とうにん,N1,11677,"the one concerned, the said person"
同封,どうふう,N1,0,"enclosure (e.g., in a letter)"
逃亡,とうぼう,N1,5003,escape
冬眠,とうみん,N1,0,"hibernation, winter sleep"
同盟,どうめい,N1,2147,"alliance, union, league"
どうやら,どうやら,N1,14355,"it seems like, somehow or other"
動力,どうりょく,N1,5804,"power, motive power, dynamic force"
登録,とうろく,N1,998,"registration, register, record"
討論,とうろん,N1,11192,discussion; debate
遠ざかる,とおざかる,N1,0,to go far off
遠回り,とおまわり,N1,0,"detour, roundabout way"
トーン,トーン,N1,13354,tone
とかく,とかく,N1,0,"anyhow, anyway, in any case"
とがめる,とがめる,N1,0,"to blame, to rebuke"
時折,ときおり,N1,10639,sometimes
とぎれる,とぎれる,N1,0,"to pause, to be interrupted"
研ぐ,とぐ,N1,0,"to sharpen, to grind, to polish"
特技,とくぎ,N1,5656,special talent; skill
独裁,どくさい,N1,8886,"dictatorship, despotism"
特産,とくさん,N1,13537,"specialty, special product"
独自,どくじ,N1,882,"original, peculiar, characteristic"
特集,とくしゅう,N1,2388,"feature (e.g., newspaper, special edition, report)"
独占,どくせん,N1,5272,monopoly
独創,どくそう,N1,0,originality
得点,とくてん,N1,646,"score, points made"
特派,とくは,N1,19873,"send specially, special envoy"
特有,とくゆう,N1,10025,"characteristic (of, peculiar (to))"
とげ,とげ,N1,0,thorn
遂げる,とげる,N1,0,"to accomplish, to achieve, to carry out"
～どころか,～どころか,N1,0,"rather, far from"
年頃,としごろ,N1,14838,"age, marriageable age, adolescence"
戸締り,とじまり,N1,0,"closing up, locking the doors"
途上,とじょう,N1,10742,"en/in route, half way"
土台,どだい,N1,0,"foundation, base, basis"
途絶える,とだえる,N1,0,"to stop, to cease, to come to an end"
